COMPANY 1	COMPANY 2	STREET	BUILDING	STREET2	POSTAL CODE	CITY DISTRICT	CITY	COUNTRY	CONTINENT	TELEPHONE 1	EMAIL 1	URL 1	ROOMS	STARS	GEO LATITUDE	GEO LONGITUDE
Hotel	Wanda Vista Beijing	Jian Guo Road	93	Tower C, Wanda Plaza	100022	Chao Yang District	Beijing	China	Asia	+86-10-85996666			417	5	39.90878982174885	116.47072076797485
Hotel	Wanda Realm Beijing	Shijingshan Road	Jia 18		100040	Shijingshan District	Beijing	China	Asia	+86-10-88681188	message@wandahotels.com	www.wandahotels.com	312	5	39.90690518690643	116.2272834777832
Hotel	Pullman Beijing South	Ronghua South Road	12	Beijing Yizhuang Economic Technological Development Area	100176		Beijing	China	Asia	+86-10-87228888	info@accor.com	www.accorhotels.com	434	5	39.78646929706655	116.51657581329346
Hotel	Pullman Anshan Time Square	Shengli Road	306		114030	Lishan District	Anshan	China	Asia	+86-412-6638888	info@accor.com	www.accorhotels.com	331	5	41.149664164995734	123.02910804748535
Hotel	Pullman Panjin Oriental Ginza	Shihua Road	181	Oriental Ginza Pl	124010	Xinglongtai District	Panjin	China	Asia	+86-427-3899888	info@accor.com	www.accorhotels.com	263	5	41.127103376797088	122.10526058889047
Hotel	Pullman Shanghai Skyway	Dapu Road	15		200023	Huangpu District	Shanghai	China	Asia	+86-21-33189988	info@accor.com	www.accorhotels.com	309	5	31.20416661665785	121.47131323814392
Hotel	Pullman Shanghai Jing'an	Meiyuan Road	330		200070	Jing'an District	Shanghai	China	Asia	+86-21-63535555	info@accor.com	www.accorhotels.com	288	5	31.24642715386074	121.45710825920105
Hotel	Pullman Shanghai South	Pubei Road	1		200235	Xuhui District	Shanghai	China	Asia	+86-21-24268888	info@accor.com	www.accorhotels.com	338	5	31.160264477377133	121.42821550369263
Hotel	Pullman Nanjing Lukou Airport	Nanjing Lukou Intl Airport			211113	Jiangning District	Lukou	China	Asia	+86-25-69836888	info@accor.com	www.accorhotels.com	312	5	31.737192	118.87417400000004
Hotel	Pullman Wuxi New Lake	Hefeng Road	30		214135	New District	Wuxi	China	Asia	+86-51085308888	info@accor.com	www.accorhotels.com	405	5	31.488996764335305	120.36863833665848
Hotel	Kunshan Newport	North Bailu Road	505		215316		Kunshan	China	Asia	+86-512-57169966			220	5	31.402962047394272	120.96595287322998
Hotel	Pullman Changshu Leeman	Wangjiang Road	9	CEDZ - Yanjiang Economic and Technology Development Zone	215512	Xuxiang	Changshu	China	Asia	+86-512-52939999	info@accor.com	www.accorhotels.com	368	5	31.745194000000001	120.94172700000001
Hotel	Pullman Weifang Wanda	Fushou East Street	6636	No. 1 Building	261031	Kuiwen District	Weifang	China	Asia	+86-536-7099999	info@accor.com	www.accorhotels.com	271	5	36.719028799967084	119.12967479110716
Hotel	Pullman Linyi Lushang	North Su River	1		276000	Linyi	Shandong	China	Asia	+86-539-8186666	info@accor.com	www.accorhotels.com	312	5	35.074121922698524	118.35631370544434
Hotel	Pullman Wenzhou	Yangguang Boulevard		Intersection of Sunshine Yangguang Blvd and Xinqiao	325000	New Urban District Oubei	Wenzhou	China	Asia	+86-577-66999999	info@accor.com	www.accorhotels.com	308	5	28.034893	120.63817599999993
Hotel	Pullman Xiamen Powerlong	Hubin Middle Road	133	Siming	361003	Fújiànsheng	Xiamen	China	Asia	+86-592-5188888	info@accor.com	www.accorhotels.com	297	5	24.490960000000001	118.127523
Hotel	Sofitel Chain Theme	Yinpeng South Road	321-323		410013	Yuelu District	Changsha	China	Asia	+86-731-82060000				2	28.216321000000001	112.95582
Hotel	Pullman Zhangjiajie	Huajuan Road			427400	Wulingyuan District	Helongtongxiang	China	Asia	+86-744-8888888	info@accor.com	www.accorhotels.com	456	5	29.34415596697684	110.54192304611206
Hotel	Pullman Guangzhou Baiyun Airport	Hang Yun Bei Street	50	Baiyun International Airport	510470	Renhe Town	Huadu	China	Asia	+86-20-36068866	info@accor.com	www.accorhotels.com	460	5	23.39114584034735	113.29825758934021
Hotel	KB	Beijiang Yi Rd	8		511518		Qingyuan	China	Asia	+86-763-3388888	ibook@kb-hotel.com	www.kb-hotel.com	368	4	23.685324	113.052771
Hotel	Pullman Dongguan Forum	Dong Cheng Zhong Lu	32	Dongcheng Middle Road	523129	Dong Cheng District	Dongguan	China	Asia	+86-769-23368888	info@accor.com	www.accorhotels.com	260	5	23.052250590287077	113.77610921859741
Hotel	Pullman Dongguan Changan	Jinghai Zhong Road	38		523862	Shatou District	Changan	China	Asia	+86-769-81668888	info@accor.com	www.accorhotels.com	404	5	22.778466594808123	113.76504778862
Hotel	Pullman Guiyang	Jie Fang Road	100		550007	Nan Ming District	Guiyang	China	Asia	+86-8518666668	info@accor.com	www.accorhotels.com	410	5	26.559198732289623	106.70991539955139
Resort & Spa	Pullman Oceanview Sanya Bay	Sanya Bay Road	158		572000	Sanya Bay	Sanya	China	Asia	+86-898-88288888	info@accor.com	www.accorhotels.com	469	5	18.287019298926964	109.44892019033432
Villas & Resort Hotel	Pullman Sanya Yalong Bay	Yalong Bay National Resort District			572016		Sanya	China	Asia	+86-898-88555588	info@accor.com	www.accorhotels.com	193	5	18.228082631895312	109.62865233421326
Resort & Spa	Pullman Lijiang	Shuhe Old Town Entrance Road			674100	Gucheng District	Lijiang	China	Asia	+86-888-5300111	info@accor.com	www.accorhotels.com	130	5	26.911336265607225	100.21657705307007
Boutique Hotel	MOODs	Klimentská	2006/28		110 00		Prague	Czech Republic	Europe	+420-2-22330100	moods@hotelmoods.com	www.hotelmoods.com	52	4	50.092007755753514	14.430755227804184
Hotel	Alcron	Stepanska	623/40		110 00	Nove Mesto	Prague	Czech Republic	Europe	+420-2-22820000	alcron.concierge@alcronhotel.com	www.alcronhotel.com	206	5	50.07992629437041	14.426290690898895
Hotel	Ambassador - Zlatá Husa	Václavské náměstí	5-7	Wenceslas Square	111 24	City Center	Prague	Czech Republic	Europe	+420-2-24193111	info@topinternational.com	www.topinternational.com	162	5S	50.0837025084551	14.424633085727692
Hotel	Novotel Praha Wenceslas Square	Kateřinská	38		120 00		Prague	Czech Republic	Europe	+420-2-21104999	info@accorhotels.com	www.accorhotels.com	146	4	50.07496633432396	14.427625089883804
Hotel	Noir	Legerova	35		120 00	Vinohrady	Prague	Czech Republic	Europe	+420-2-24104111	info@hotelnoir.cz	www.hotelnoir.cz	30	4	50.07332495050256	14.430246949195862
Hotel	Raffaello	Legerova	485/54		120 00	Vinohrady	Prague	Czech Republic	Europe	+420-221590390	info@hotelraffaello.cz	www.hotelraffaello.cz	34	4	50.07446454334503	14.430434703826904
Hotel	Ambiance	Tyršova	1841/8		120 00		Prague	Czech Republic	Europe	+420-2-27022022	 info@ambiancehotel.cz	www.ambiancehotel.cz	99	4	50.0728399	14.430829099999983
Hotel	Occidental Praha	Na Strži	1660/32		140 00		Prague	Czech Republic	Europe	+420-2-96772111	hotels@barcelo.com	www.barcelo.com	213	4	50.04367827841792	14.439500570297241
Hotel	Abito	Chodovská	1430/3a		141 00		Prague	Czech Republic	Europe	+420-2-71003121	booking@abitohotel.cz	www.hotelabito.cz	64	3	50.052351263720475	14.474396109580994
Boat-Hotel	Admirál Botel	Hořejší Nábřeží			150 00		Prague	Czech Republic	Europe	+420-2-57321302	info@admiral-botel.cz	www.admiral-botel.cz	87	3	50.07086578213076	14.411075860261917
Hotel	NH Prague	Mozartova	261/1	Smichov	150 00		Prague	Czech Republic	Europe	+420-2-57153111	nh.spain@nh-hotels.com	www.nh-hoteles.com	442	4	50.07128669878818	14.396805167198181
Hotel	Praga 1885	Plzeňská	560/29		150 00		Prague	Czech Republic	Europe	+420-2-57224247	praga1885@eahotels.cz	www.eahotels.cz	42	4	50.07226624104164	14.39620703458786
Hotel	Angelo by Vienna House Prague	Radlická	1g/3216		150 00		Prague	Czech Republic	Europe	+420-2-34801111	office@viennahouse.com	www.viennahouse.com	168	4	50.07053093986093	14.401399791240692
Hotel	Pyramida	Bělohorská	24		169 00	Prague Castle	Prague	Czech Republic	Europe	+420-2-33102111	info@orea.cz	www.orea.cz	354	4	50.08558228131128	14.379995167237212
Hotel	Aida	Kubišova	1953/23		182 00		Prague	Czech Republic	Europe	+420-2-84680628	info@avehotels.cz	www.avehotels.cz	47	4	50.120723417699494	14.454785138368607
Hotel	B&B Prague City	Prvního pluku	29		186 00		Prague	Czech Republic	Europe	+420-2-24284788	commercial@hotelbb.com	www.hotelbb.com	160	3	50.09250578309889	14.441666454076767
Hotel	Provocateur	Brandenburgische Str.	21		10707		Berlin	Germany	Europe	+49-30-22056060	info@starwoodhotels.com	www.starwoodhotels.com	58	3	52.495741489296094	13.3087778091431
Hotel garni	Eden	Goethestr.	2		17419		Seebad Ahlbeck	Germany	Europe	+49-38378-238-0	info@garni-eden.de	www.garni-eden.de	31	3	53.94279	14.18625
Pension	Haus Demmer	Hardt	88		40764	Immigrath	Langenfeld	Germany	Europe	+49-2173-21066	kontakt@hotel-haus-demmer.de	www.hotel-haus-demmer.de	5		51.120021	6.975875
Hotel	Haus Hammerstein	Hammerstein	1		42499		Hückeswagen	Germany	Europe	+49-2192-916170	haus-hammerstein@lebenshilfe-nrw.de	www.haus-hammerstein.de	41	3	51.1407	7.3502
Hotel	Regent	Dellplatz	1-3		47051	Dellviertel	Duisburg	Germany	Europe	+49-203-22063	info@hotel-regent.de	www.hotel-regent.de	63	3	51.43030450218408	6.76274411380291
Hotel	Plaza	Düsseldorfer Str.	54		47051	Dellviertel	Duisburg	Germany	Europe	+49-203-2822-0	info@hotel-plaza.de	www.hotel-plaza.de	75	4	51.429698719615594	6.764808744192123
Hotel	ferrotel	Düsseldorfer Str.	122-124		47051	City Center	Duisburg	Germany	Europe	+49-203-287085	info@sorat-hotels.com	www.sorat-hotels.com	30	3	51.42663038488718	6.764783933758736
Hotel	Conti	Düsseldorfer Str.	131-137		47051	City Center - Dellviertel	Duisburg	Germany	Europe	+49-203-287005	info@sorat-hotels.com	www.sorat-hotels.com	71	4	51.426228999999999	6.7650810000000003
Boutiquehotel & Apartements	Niteroom	Grünstr.	55		47051	Dellviertel	Duisburg	Germany	Europe	+49-203-28549200	info@hotel-zumloewen.de		20	3S	51.427428973614134	6.7607256846557675
Hotel	Goldener Hahn	Hohe Str.	26a		47051	Dellviertel	Duisburg	Germany	Europe	+49-203-34878888	info@hotelgoldenerhahn.de	www.hotel-goldener-hahn-duisburg.de	15		51.430974981708005	6.7708101442101505
Hotel Restaurant	Zum Löwen	Kremerstr.	21		47051		Duisburg	Germany	Europe	+49-203-28549200	info@hotel-zumloewen.de	www.hotel-zumloewen.de	28	2	51.4272566947727	6.76144123077393
Hotel	Mercure Duisburg City	Landfermannstr.	20		47051	City Centre, Near Rail or Train Station	Duisburg	Germany	Europe	+49-203-30003-0	info@accor.com	www.accorhotels.com	162	4	51.43334876198679	6.773448139429092
Hotel Restaurant	Mamma Leone	Mercatorstr.	14		47051		Duisburg	Germany	Europe	+49-203-7399300	info@hotel-restaurant-mamma-leone.de	www.hotel-restaurant-mamma-leone.de	12		51.4336	6.7619
Hotel	Ibis Duisburg Hauptbahnhof	Mercatorstr.	15		47051		Duisburg	Germany	Europe	+49-203-30005-0	info@accor.com	www.accorhotels.com	95	2	51.430529755951575	6.773787438869476
Hotel	IntercityHotel Duisburg	Mercatorstr.	57		47051	Dellviertel	Duisburg	Germany	Europe	+49-203-607160	neugierig@intercityhotel.de	www.intercityhotel.de		4	51.429502	6.7719506
Hotel	Duisburger Hof	Opernplatz	2		47051	City Center	Duisburg	Germany	Europe	+49-203-3007-0	hotelsales@wyndhamworldwide.com	www.gchhotelgroup.com	109	4	51.43443146959037	6.771306395530701
Hotel	Mirage	Ulrichstr.	28		47051		Duisburg	Germany	Europe	+49-203-28685-0	info@hotel-mirage.de	www.hotel-mirage.de	40	2	51.43247087211911	6.755323112010956
Hotel	B&B Duisburg	Zum Portsmouthplatz	20	Navi: Mercatorstraße 25	47051		Duisburg	Germany	Europe	+49-203-75944-0	commercial@hotelbb.com	www.hotelbb.de	101	2	51.42835	6.77262
Hotel	Akazienhof	Düsseldorfer Str.	270		47053	City Center	Duisburg	Germany	Europe	+49-203-28549200	info@akazienhof-duisburg.de	www.akazienhof-duisburg.de	20	3	51.419578999999999	6.7677759999999996
Hostel	Dorms & Dorm City	Friedenstr.	85		47053		Duisburg	Germany	Europe	+49-203-9356362			14		51.423548699999998	6.7616848000000003
Hotel garni	Am Sportpark	Buchholzstr.	27		47055	Randlage Süd	Duisburg	Germany	Europe	+49-203-770340	mail@am-sportpark.de	www.am-sportpark.de	20	3	51.40425074575849	6.768064275383949
Hotel	Flora	Düsseldorfer Str.	543		47055	Wanheimerort	Duisburg	Germany	Europe	+49-203-7136960	kontakt@hotel-restaurant-flora.net	www.hotel-restaurant-flora.net	8		51.3995402	6.7621667
Gruppenhaus	Sportschule Wedau	Friedrich-Alfred-Str.	15		47055		Duisburg	Germany	Europe	+49-203-7780-0	info@fvn.de	www.fvn.de	205		51.404313	6.781143
Hotel	Am Stadion	Kalkweg	26		47055	Wanheimerort (Sportpark Wedau)	Duisburg	Germany	Europe	+49-203-724024	info@hotelamstadion.de	www.hotelamstadion.de	16	2	51.410287603657956	6.774034202098846
Jugendherberge	DJH Duisburg Sportpark	Kruppstr.	9		47055	Neudorf-Süd	Duisburg	Germany	Europe	+49-203-3639960	info@hihostels.com	www.hihostels.com	70		51.41062354071941	6.777749061584473
Hotel	Central	Kloecknerstr.	10-12		47057	Neudorf-Nord	Duisburg	Germany	Europe	+49-172-2350716		www.centralhotelduisburg.site			51.43048	6.77875
Hotel	Friederichs	Neudorfer Str.	33-35		47057	Neudorf-Nord	Duisburg	Germany	Europe	+49-203-31865-0	info@hotel-friederichs.de	www.hotel-friederichs.de	38	4	51.42989437697547	6.778613403439522
Hotel	Ibis Budget Duisburg City am Innenhafen	Falkstr.	61		47058		Duisburg	Germany	Europe	+49-203-3019920	info@accor.com	www.accorhotels.com	69	1	51.437382999999997	6.7774239999999999
Hotel	Rheinischer Hof	Mülheimer Str.	119		47058		Duisburg	Germany	Europe	+49-203-332446	info@rheinischhof.de	www.rheinischhof.de	30		51.4336	6.7619
Hotel-Pension	Am Freihafen	Bergiusstr.	36		47119	Ruhrort	Duisburg	Germany	Europe	+49-203-8605820	hotel-freihafen@t-online.de	www.hotel-am-freihafen.de	8	2	51.45332873493523	6.737855225801468
Hotel	La Vigie	Kasteelstr.	1-3		47119	Ruhrort	Duisburg	Germany	Europe	+49-203-80055-0	info@hotel-lavigie.de	www.hotel-lavigie.de	11	3	51.450836992071316	6.732091158628464
Jugendherberge	DJH Duisburg Landschaftspark	Lösorter Str.	133		47137	Meiderich	Duisburg	Germany	Europe	+49-203-41790-0	service@djh.de	www.jugendherberge.de	38		51.478833800036874	6.780238151550293
Hotel garni	Jacqueline	Westender Str.	16		47137	Meiderich	Duisburg	Germany	Europe	+49-203-444625			10		51.467	6.78374
Gästehaus & Apartments	Unterkunft Obermann	Obermeidericher Str.	20A		47138	Obermeiderich	Duisburg	Germany	Europe	+49-203-57893067	info@ferienwohnung-24-duisburg.de	www.ferienwohnung-24-duisburg.de/	5		51.467561279143546	6.819370910525322
Hotel	Landhaus Sechting	Kaiser-Friedrich-Str.	382		47167	Röttgersbach	Duisburg	Germany	Europe	+49-203-4829420-0	landhaus-sechting@gmx.de	www.landhaus-sechting.de	18	2	51.507854332508714	6.807513535022736
Hotel Restaurant	Montan	Dahlstr.	1		47169	Hamborn-Marxloh	Duisburg	Germany	Europe	+49-203-400832	info@hotelmontan.de	www.hotelmontan.de	25	3	51.5022713	6.751231500000017
Hotel	Haus Leutl - Am Kamin	Wolfstr.	33		47169		Duisburg	Germany	Europe	+49-203-400133	peter.leutl@gmx.de	www.hotelamkamin.de	17	2	51.502347	6.7518409999999998
Hotel	Am Rubbert	Heerstr.	63		47178		Duisburg	Germany	Europe	+49-203-472150	info@am-rubbert.de	www.am-rubbert.de			51.4336	6.7619
Hotel-Restaurant	Haus-Garden	Friedrich-Ebert-Str.	131		47179	Walsum	Duisburg	Germany	Europe	+49-203-492105	hotel@hausgarden.de	www.hausgarden.de	13		51.523130363132516	6.742530316114426
Hotel & Bistro	Zum Bügeleisen	Augustastr.	2		47198	Alt-Homberg	Duisburg	Germany	Europe	+49-2066-508761-0	info@hotel-zum-buegeleisen.com	www.hotel-zum-buegeleisen.com	12	3	51.449658140956764	6.704818457365036
Rheinhotel	Rheingarten	Königstr.	78		47198	Homberg	Duisburg	Germany	Europe	+49-2066-2044-0	info@hotelrheingarten.com	www.hotelrheingarten.com	27	4	51.452469977211734	6.718173176050186
Pension	Central	Moerser Str.	98		47198		Duisburg	Germany	Europe	+49-2066-5100449	mail@central-pension.de	www.central-pension.de	6		51.44958581468246	6.701442370569566
Hotel garni	Langen	Mühlenstr.	79		47198		Duisburg	Germany	Europe	+49-2066-8574	blangen@hotelgarnilangen.de	www.hotelgarnilangen.de			51.4336	6.7619
Hotel & Restaurant	EuroHof - Landhotel am See	Elisenstr.	39		47199		Duisburg	Germany	Europe	+49-2841-36870-0	info@hotel-eurohof.de	www.hotel-eurohof.de	28	4	51.463399000000003	6.6749229999999997
Gästehaus	Blue	Elsa-Brandström-Str.	1		47228		Duisburg	Germany	Europe	+49-1521-1844823			12	2	51.5012455	6.7558178
Ferienwohnungen	Bolte's	Hugostr.	18		47228		Duisburg	Germany	Europe	+49-203-7299496	tom.bolte@t-online.de	www.boltes-fewo-duisburg.de	5		51.39023783635785	6.77315779030323
Gasthof	Zur Linde	Sedanstr.	1		47229		Duisburg	Germany	Europe	+49-2065-22079	info@gasthof-zur-linde-duisburg.de	www.gasthof-zur-linde-duisburg.de	7	2	51.4336	6.7619
Hotel garni	Schilling	Bregenzer Str.	17-19		47249	Buchholz	Duisburg	Germany	Europe	+49-203-79964-0	info@hotel-schilling.de	www.hotel-schilling.de	18	2	51.383040000000001	6.7652599999999996
Apartment	Sea Scape	Grossenbaumer Allee	352 B		47249	Buchholz	Duisburg	Germany	Europe	+49-203-8050157		www.pension-sea-scape.com.es	1		51.38507491686422	6.783459484577179
Ferienwohnung	Kleiner Ruhrpott	Großglocknerstr.	7		47249	Buchholz	Duisburg	Germany	Europe	+49-203-783690	info@kleiner-seestern.de	www.kleiner-ruhrpott.de	1		51.385269999999998	6.7814199999999998
Hotel garni	Haus Scheuten	Im Königsbusch	1b		47249		Duisburg	Germany	Europe	+49-203-709798	info@haus-scheuten.de	www.haus-scheuten.de	10	2	51.39023783635785	6.77315779030323
Hotel Restaurant Events	Sittardsberg	Sittardsberger Allee	10		47249	Buchholz	Duisburg	Germany	Europe	+49-203-700001	cph@cph-hotels.com	www.cph-hotels.com	38	3S	51.376083999999999	6.760033
Hotel	Lonac	Düsseldorfer Landstr.	337		47259		Duisburg	Germany	Europe	+49-203-75862-0	hotel@lonac.de	www.lonac.de	25	3	51.36379777859735	6.750555485486984
Hotel	Landhaus Milser	Zur Sandmühle	2		47259		Duisburg	Germany	Europe	+49-203-7580-0	info@landhausmilser.de	www.landhausmilser.de	60	4	51.356856999999998	6.7454020000000003
Hotel	Haus Will	Angermunder Str.	174		47269		Duisburg	Germany	Europe	+49-203-761020	info@hotel-restaurant-will.de	www.hotel-restaurant-will.de		1	51.3531284	6.7836212
Hotel garni	Ramor	Angermunder Str.	37-41		47269		Duisburg	Germany	Europe	+49-203-99806-0	info@hotel-ramor.de	www.hotel-ramor.de	21	2	51.363528000000002	6.7787769999999998
Hotel	Dormir	Rheinberger Str.	93a		47441		Moers	Germany	Europe	+49-2841-4086528	info@hotel-dormir.de	www.hotel-dormir.de	24	3	51.4590996	6.6302185
Hotel-Restaurant	Omega	Rheinberger Str.	497		47445		Moers	Germany	Europe	+49-2841-9798559	info@hotelomega.de	www.hotelomega.de	10	3	51.5039868	6.6232809
Hotel-Restaurant	Schwarzer Adler	Düsseldorfer Str.	309		47447	Schwafheim	Moers	Germany	Europe	+49-2841-3821	info@schwarzer-adler-hotel.de	www.schwarzer-adler-hotel.de	39	3	51.42205195777733	6.654646396636963
Hotel	Deutsch Krone Bad Essen	Ludwigsweg	10		49152		Bad Essen	Germany	Europe	+49-5472-408-0	info@haus-deutsch-krone.com	www.haus-deutsch-krone.com	80	3	52.317810000000001	8.3371490000000001
Ferienwohnung	Lan	Heidländer Weg	11		49214		Bad Rothenfelde	Germany	Europe				1		52.10793	8.178670000000011
Hotel	Haus Deutsch Krone	Sonnenhang	15		49214		Bad Rothenfelde	Germany	Europe	+49-5424-61-0			60	3	52.115733	8.153479
Hotel garni	Sand	Schwalbenweg	17		72076		Tübingen	Germany	Europe	+49-7071-60949-0	info@hotel-garni-sand.de	www.hotel-garni-sand.de	7	3	48.535963000000002	9.0704659999999997
Hotel	König Ludwig	Kreuzweg	11-15		87645	Waltenhofen	Schwangau	Germany	Europe	+49-8362-889-0	info@koenig-ludwig-hotel.de	www.koenig-ludwig-hotel.de	120	4	47.58231376449367	10.731212496757507
Ferienpark	Center Parc Allgäu	Allgäuallee	40		88299		Leutkirch	Germany	Europe	+49-7561-9095-0	kundenservice@groupepvcp.com	www.groupepvcp.com	1000		47.784000	10.064300
Freizeitpark	Legoland - Pirateninsel Hotel	Legoland-Allee	1		89312		Günzburg	Germany	Europe	+49-8221-700185	info@legoland.de	www.legoland.de	144		48.426814999999998	10.3003596
Hotel & Resort	Dome Marina	Suez-Zaafarana Road	82 Km		43111	Ataqah	Ain El Sokhna	Egypt	Africa	+20-62-3210080	sales@domemarinaresort.net	www.domemarinaresort.net	177	4	29.4401955467922	32.493610382080099
Resort	Amego	Sokhna - El Suez Road	33 Km				Ain El Sokhna	Egypt	Africa	+20-62-3410003			54	3	29.7659420186029	32.418508529663001
Resort	Creative Jet Beach	Suez Hurghada Road	25 Km			El-Hafair	Ain El Sokhna	Egypt	Africa	+20-62-3411001			57	3	29.671162405420802	32.338930070400203
Beach Resort & Spa	Cancun	Suez-El Zafarana Road	Km 102				Ain El Sokhna	Egypt	Africa	+20-11-44459611	sales-hotels@amer-group.com	www.amer-group.com	119	5	29.285070114411301	32.603366374969497
Hotel	Horizon El Wadi	Suez-Hurghada Road	46			El Wadi Village	Ain El Sokhna	Egypt	Africa	+20-62-3250480	reservation@horizonelwadihotel.com	www.horizonelwadihotel.com	120	3	29.666809055498799	32.356570959091101
Beach Resort	Coral Sea	Zaafaran/Suez Hurghada Road	170 Km				Ain El Sokhna	Egypt	Africa	+20-62-3721551	sales@coralsearesorts.com	www.coralsearesorts.com	144	5	29.216104333337096	32.620779275894165
Hotel Bodega	Marques de Riscal	Calle Torrea	1		01340		Elciego	Spain	Europe	+34-945-180880	marquesderiscal@luxurycollection.com	www.starwoodhotels.com	43	5	42.511611164093296	-2.6180116832256317
Hotel	Marriott London County Hall	Westminster Bridge Road		London County Hall	SE1 7PB	Central South - Lambeth	London	United Kingdom	Europe	+44-20-79285200	customerservice@marriott.com	www.marriott.com	314	5	51.5013431035763	-0.119175910949707
Hostel	Canki	Sv. Vinka Paulskog	24		10000		Zadar	Croatia	Europe	+385-915926215			35		44.11152743627766	15.241977274417877
Hotel	Kolovare	Bože Peričića	14		23000		Zadar	Croatia	Europe	+385-23-211017	irena.kolovare@hoteli-zadar.com	www.hotel-kolovare.com	203	4	44.10564578327139	15.235596299171448
Boutique Hostel	Forum	Široka Ulica	20		23000		Zadar	Croatia	Europe	+385-23-250705	info@hostelforumzadar.com	www.hostelforumzadar.com	35		44.11582564157412	15.225130319595337
Hotel	Adriana	Ulica Majstora Radovana	7		23000	Borik	Zadar	Croatia	Europe	+385-23-555600	info@falkensteiner.com	www.falkensteiner.com	48	4	44.135236847411385	15.21155834197998
Hotel	Donat	Ulica Majstora Radovana	7		23000	Borik	Zadar	Croatia	Europe	+385-23-555600	info@falkensteiner.com	www.falkensteiner.com	240	3	44.1352580225893	15.211383998394012
Hotel & Resort	Club Funimation	Ulica Majstora Radovana	7		23000	Borik	Zadar	Croatia	Europe	+385-23-206100	info@falkensteiner.com	www.falkensteiner.com	258	4	44.13536004834008	15.210850238800049
Hotel & Resort	Crvena Luka	Crvena Luka	1		23210		Biograd na Moru	Croatia	Europe	+385-23-383640	info@crvena-luka.hr	www.crvena-luka.hr	165	4	43.917803999999997	15.478942
Family Hotel	Diadora	Punta Skala bb			23231	Petrčane	Zadar	Croatia	Europe	+385-23555911	info@falkensteiner.com	www.falkensteiner.com	250	4S	44.19365912010921	15.146981477737427
